모집 여부,제목,신청기간,담당기관,진행일정,문의 전화,문의 이메일,지원대상,상세정보,URL
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
모집중,2025 찾아가는 비즈니스 상담 (웹툰분야),2025-07-24~ 2025-07-30,"부산정보산업진흥원, 부산콘텐츠진흥원",2025-8-26,051-749-9163,-,부산지역 웹툰분야 기업 및 창작자,,http://www.busanit.or.kr/board/view.asp?bidx=17774&bcode=notice&ipage=1&sword=&search_txt=
모집중,2025 콘텐츠기업 헬프데스크 관련 마케팅 교육참가자 모집,~2025-7-28,부산정보산업진흥원,"2025. 7. 29(화), 14:00~17:00(3시간)",051-749-9189,egg0717@bipa.kr,마케팅 관심있는 스타트업 대표 및 임직원,,http://www.busanit.or.kr/board/view.asp?bidx=17768&bcode=notice&ipage=1&sword=&search_txt=
모집중,2025 부산 가상증강현실 융복합센터 마케팅 지원 사업 모집 공고,2025-7-24~2025-8-7,부산정보산업진흥원,2025-8~2026-1,051-749-9162,imchenfb@bipa.kr,부산지역 가상융합산업(VR/AR/XR/메타버스) 분야 기업,,http://www.busanit.or.kr/board/view.asp?bidx=17766&bcode=notice&ipage=1&sword=&search_txt=
모집중,2025년 부산AI실증지원센터」고성능컴퓨터 사용 지원사업 참여기업 모집 공고,2025-7-23~2025-12-26,부산정보산업진흥원,2025-7-23~2025-12-26,051-749-9454,samgak@bipa.kr,"AI개발자/1인사업가/ 대학원생, AI솔루션 보유업체 등 ",,http://www.busanit.or.kr/board/view.asp?bidx=17765&bcode=notice&ipage=1&sword=&search_txt=
모집중,윈스테크넷 채용연계형 사이버보안 전문인력 양성과정 교육생 모집,2025-7-21~2025-8-12,부산정보산업진흥원,2025-8-27~2025-12-03,051-922-2660,recruit@wins21.co.kr,만 34세 이하 기졸업자 또는 2026년 2월 졸업 예정자,,http://www.busanit.or.kr/board/view.asp?bidx=17761&bcode=notice&ipage=1&sword=&search_txt=
모집중,2025 부산시 빅데이터 전문가 양성과정 훈련생 모집,~2025-7-31,부산정보산업진흥원,2025-7~2026-1,051-831-0470,busan@kfq.or.kr,"부산거주자, 부산소재 대학 졸업(예정)자, 만 18~39세 미만 미취업 청년",,http://www.busanit.or.kr/board/view.asp?bidx=17732&bcode=notice&ipage=1&sword=&search_txt=
모집중,제12회 대한민국 SW 융합 해커톤 대회 부산지역 참가자 모집공고,2025-7-21~2025-8-10,부산정보산업진흥원 포함 전국 12개 지역SW산업진흥기관,2025-8-29~2025-8-31,051-749-9379,kcy1@busanit.or.kr , 부산 지역 소재 만 15세 이상 중ㆍ고ㆍ대학생 및 일반인,,http://busanit.or.kr/board/view.asp?bidx=17730&bcode=notice_e&ipage=1
